evidence_status,population,scenario,active_arm,control_arm,active_n,active_responders,active_rate,control_n,control_responders,control_rate,risk_difference,rd_ci_low_newcombe,rd_ci_high_newcombe,risk_ratio,rr_ci_low,rr_ci_high,odds_ratio,or_ci_low,or_ci_high,fisher_exact_p,planning_success_rule_met,success_rule
observed_posthoc_exploratory,mITT,nominal_v8_missing_nonresponder,泰普格雷低剂量组,氯吡格雷组,202,160,0.7920792079207921,201,147,0.7313432835820896,0.06073592433870256,-0.022537430112524556,0.14305211178897093,1.083047080218226,0.9706166233005918,1.2085008125870091,1.3994169096209912,0.8823336761345189,2.2195318391481145,0.16199884499244677,False,two-sided 95% Newcombe/Wilson RD CI lower bound > 0
observed_posthoc_exploratory,mITT,nominal_v8_missing_nonresponder,泰普格雷高剂量组,氯吡格雷组,202,156,0.7722772277227723,201,147,0.7313432835820896,0.04093394414068274,-0.04340123753789869,0.12459713482414689,1.0559709032127702,0.9437302946727062,1.1815606161278431,1.2457852706299912,0.7917968325497339,1.9600747018916098,0.35804431647217655,False,two-sided 95% Newcombe/Wilson RD CI lower bound > 0
observed_posthoc_exploratory,mITT,nominal_v8_missing_nonresponder,泰普格雷低剂量组,泰普格雷高剂量组,202,160,0.7920792079207921,202,156,0.7722772277227723,0.01980198019801982,-0.06075467211351249,0.10007508142035189,1.0256410256410258,0.9253006296452468,1.136862420466828,1.1233211233211233,0.700065362646925,1.8024750450849534,0.7177945686060453,False,two-sided 95% Newcombe/Wilson RD CI lower bound > 0
observed_posthoc_exploratory,mITT,available_case,泰普格雷低剂量组,氯吡格雷组,179,160,0.8938547486033519,171,147,0.8596491228070176,0.03420562579633435,-0.03532375914108864,0.1047591484080294,1.039790217763083,0.9609589190237819,1.1250883628346267,1.3748657357679914,0.7233837054804281,2.6130748827601336,0.4157029899395852,False,two-sided 95% Newcombe/Wilson RD CI lower bound > 0
observed_posthoc_exploratory,mITT,available_case,泰普格雷高剂量组,氯吡格雷组,179,156,0.8715083798882681,171,147,0.8596491228070176,0.011859257081250574,-0.060210297859553716,0.08470553630456756,1.0137954623190057,0.933370199172539,1.101150690615327,1.1073646850044365,0.5988751568795063,2.047599623241172,0.756489919974754,False,two-sided 95% Newcombe/Wilson RD CI lower bound > 0
observed_posthoc_exploratory,mITT,available_case,泰普格雷低剂量组,泰普格雷高剂量组,179,160,0.8938547486033519,179,156,0.8715083798882681,0.022346368715083775,-0.045398892246677355,0.09031934068633041,1.0256410256410255,0.9509788592907628,1.1061649827447355,1.2415654520917678,0.650490108404174,2.3697282278580833,0.622645674946793,False,two-sided 95% Newcombe/Wilson RD CI lower bound > 0
observed_posthoc_exploratory,mITT,strict_d85_d95_missing_nonresponder,泰普格雷低剂量组,氯吡格雷组,202,155,0.7673267326732673,201,137,0.681592039800995,0.08573469287227231,-0.0015450386844630959,0.1713607549098229,1.1257859362578593,0.9972638978052614,1.2708712077768132,1.5406118962571829,0.9911078803949996,2.3947796822513565,0.05856266359433338,False,two-sided 95% Newcombe/Wilson RD CI lower bound > 0
observed_posthoc_exploratory,mITT,strict_d85_d95_missing_nonresponder,泰普格雷高剂量组,氯吡格雷组,202,147,0.7277227722772277,201,137,0.681592039800995,0.04613073247623267,-0.042807506777301274,0.13413090532801814,1.0676808556768085,0.9406600075357751,1.2118538052500418,1.2485733244857333,0.8130221321180154,1.9174574529184734,0.32714422865979953,False,two-sided 95% Newcombe/Wilson RD CI lower bound > 0
observed_posthoc_exploratory,mITT,strict_d85_d95_missing_nonresponder,泰普格雷低剂量组,泰普格雷高剂量组,202,155,0.7673267326732673,202,147,0.7277227722772277,0.03960396039603964,-0.045104581439370045,0.1236015079727323,1.054421768707483,0.9412888837240833,1.1811520199043555,1.2338978144449269,0.7867733586255086,1.9351237555269767,0.4228383608798601,False,two-sided 95% Newcombe/Wilson RD CI lower bound > 0
observed_posthoc_exploratory,mITT,locf_like_through_d95,泰普格雷低剂量组,氯吡格雷组,202,158,0.7821782178217822,201,140,0.6965174129353234,0.08566080488645877,-0.00011747314356480576,0.1698908450664349,1.1229844413012728,0.999271776800976,1.2620130826089595,1.5646103896103896,0.9981581288170369,2.452522902536514,0.054244857347081774,False,two-sided 95% Newcombe/Wilson RD CI lower bound > 0
